id,YEAR,STATES,LAT,LONG,POPULATION,AREA(KM2),DENSITY,TOTAL PC,TOTAL VC,TOTAL CRIME,UNEMPLOYMENT
160,1992,Negeri sembilan,2.7258,101.9424,741700,6686,110.93329340000001,1838,314,2152,3.3
161,1992,Pahang,3.8126,103.3256,1104300,35965,30.70485194,1600,213,1813,2.8
162,1992,Penang,5.4164,100.3327,1154100,1048,1101.240458,7193,1195,8388,1.7
163,1992,Perak,4.5921,101.0901,2007200,20976,95.69031274,5637,867,6504,3.7
164,1992,Perlis,6.443589,100.216599,192800,819,235.40903540000002,457,43,500,2.7
165,1992,Selangor,3.0738,101.524803,2605600,8104,321.5202369,11809,2112,13921,2.1
166,1992,Terengganu,5.3117,103.1324,823700,13035,63.19140775,975,87,1062,5.5
167,1992,Sarawak,1.5533,110.3592,1758100,124450,14.12695862,4600,276,4876,7.8
168,1992,Sabah,5.420404,116.796783,1896700,73631,25.75953063,2441,983,3424,6.2
169,1993,Johor,1.4854,103.366585,2313400,19166,120.7033288,9594,1558,11152,2.9
170,1993,Kedah,6.1184,100.3685,1434000,9500,150.94736840000002,2709,323,3032,3.6
171,1993,Kelantan,6.125397,102.238068,1259000,17100,73.62573099,1708,201,1909,4.7
172,1993,Melaka,2.1944,102.2491,563300,1664,338.5216346,1372,202,1574,3.2
173,1993,Negeri sembilan,2.7258,101.9424,757000,6686,113.2216572,2321,406,2727,2.8
174,1993,Pahang,3.8126,103.3256,1128100,35965,31.36660642,1459,209,1668,3.7
175,1993,Penang,5.4164,100.3327,1174800,1048,1120.992366,6664,1058,7722,2.2
176,1993,Perak,4.5921,101.0901,2018300,20976,96.21948894,6259,882,7141,4.3
177,1993,Perlis,6.443589,100.216599,194900,819,237.97313799999998,447,38,485,1.4
178,1993,Selangor,3.0738,101.524803,2788700,8104,344.11401780000006,13113,2439,15552,2.7
179,1993,Terengganu,5.3117,103.1324,836400,13035,64.16570771,1567,116,1683,7.0
180,1993,Sarawak,1.5533,110.3592,1795200,124450,14.42507031,5283,310,5593,7.0
181,1993,Sabah,5.420404,116.796783,1981900,73631,26.91665195,3438,589,4027,7.1
182,1994,Johor,1.4854,103.366585,2378000,19166,124.0738808,9460,1729,11189,2.8
183,1994,Kedah,6.1184,100.3685,1466500,9500,154.36842109999998,2552,405,2957,2.9
184,1994,Kelantan,6.125397,102.238068,1273800,17100,74.49122807,1594,184,1778,4.1
185,1994,Melaka,2.1944,102.2491,574800,1664,345.4326923,1092,193,1285,2.7
186,1994,Negeri sembilan,2.7258,101.9424,772400,6686,115.52497759999999,2417,290,2707,3.0
187,1994,Pahang,3.8126,103.3256,1152100,35965,32.03392187,1405,214,1619,3.7
188,1994,Penang,5.4164,100.3327,1195600,1048,1140.839695,5149,740,5889,1.7
189,1994,Perak,4.5921,101.0901,2028300,20976,96.69622426,6019,816,6835,4.1
190,1994,Perlis,6.443589,100.216599,196500,819,239.92673990000003,386,45,431,1.4
191,1994,Selangor,3.0738,101.524803,2978400,8104,367.5222113,13035,2382,15417,2.3
192,1994,Terengganu,5.3117,103.1324,848600,13035,65.10164941,1831,120,1951,6.6
193,1994,Sarawak,1.5533,110.3592,1831900,124450,14.71996786,5116,308,5424,6.2
194,1994,Sabah,5.420404,116.796783,2068900,73631,28.0982195,3641,617,4258,6.3
195,1995,Johor,1.4854,103.366585,2441500,19166,127.3870395,9951,1453,11404,2.6
196,1995,Kedah,6.1184,100.3685,1500200,9500,157.9157895,2681,395,3076,2.0
197,1995,Kelantan,6.125397,102.238068,1287900,17100,75.31578947,1578,144,1722,3.5
198,1995,Melaka,2.1944,102.2491,586300,1664,352.34375,1784,273,2057,2.3
199,1995,Negeri sembilan,2.7258,101.9424,787500,6686,117.7834281,2166,378,2544,3.1
200,1995,Pahang,3.8126,103.3256,1176500,35965,32.71235924,1458,206,1664,3.6
201,1995,Penang,5.4164,100.3327,1216600,1048,1160.8778630000002,4972,794,5766,1.4
202,1995,Perak,4.5921,101.0901,2038400,20976,97.17772693,6250,957,7207,3.9
203,1995,Perlis,6.443589,100.216599,198800,819,242.73504269999998,311,43,354,1.4
204,1995,Selangor,3.0738,101.524803,3173100,8104,391.54738399999997,15516,2699,18215,2.0
205,1995,Terengganu,5.3117,103.1324,859700,13035,65.95320292,1709,86,1795,5.9
206,1995,Sarawak,1.5533,110.3592,1868100,124450,15.01084773,4971,300,5271,4.8
207,1995,Sabah,5.420404,116.796783,2156100,73631,29.28250329,3906,641,4547,5.5
208,1996,Johor,1.4854,103.366585,2503900,19166,130.642805,11325,1604,12929,2.1
209,1996,Kedah,6.1184,100.3685,1533300,9500,161.4,3257,470,3727,2.5
210,1996,Kelantan,6.125397,102.238068,1300900,17100,76.07602339,1342,187,1529,3.3
211,1996,Melaka,2.1944,102.2491,597300,1664,358.9543269,1994,363,2357,1.5
212,1996,Negeri sembilan,2.7258,101.9424,802600,6686,120.04187859999999,2699,427,3126,2.5
213,1996,Pahang,3.8126,103.3256,1200700,35965,33.38523565,1560,281,1841,2.6
214,1996,Penang,5.4164,100.3327,1237500,1048,1180.8206109999999,5513,1054,6567,0.7
215,1996,Perak,4.5921,101.0901,2046800,20976,97.57818459,6527,1072,7599,3.2
216,1996,Perlis,6.443589,100.216599,200600,819,244.9328449,416,52,468,2.0
217,1996,Selangor,3.0738,101.524803,3371100,8104,415.9797631,17921,3180,21101,0.9
218,1996,Terengganu,5.3117,103.1324,870700,13035,66.79708477,1516,113,1629,3.3
219,1996,Sarawak,1.5533,110.3592,1904600,124450,15.30413821,4623,320,4943,4.4
220,1996,Sabah,5.420404,116.796783,2244800,73631,30.48715894,3347,594,3941,3.9
221,1997,Johor,1.4854,103.366585,2567500,19166,133.96118130000002,16245,2491,18736,1.7
222,1997,Kedah,6.1184,100.3685,1567300,9500,164.9789474,4496,584,5080,2.5
223,1997,Kelantan,6.125397,102.238068,1314500,17100,76.87134503,2246,292,2538,3.6
224,1997,Melaka,2.1944,102.2491,608900,1664,365.9254808,2883,517,3400,1.7
225,1997,Negeri sembilan,2.7258,101.9424,818200,6686,122.3751122,3748,491,4239,2.6
226,1997,Pahang,3.8126,103.3256,1224700,35965,34.05255109,2105,347,2452,3.0
227,1997,Penang,5.4164,100.3327,1259100,1048,1201.431298,9063,1164,10227,1.1
228,1997,Perak,4.5921,101.0901,2055500,20976,97.99294432,8061,1568,9629,2.2
229,1997,Perlis,6.443589,100.216599,202100,819,246.76434680000003,398,48,446,2.3
230,1997,Selangor,3.0738,101.524803,3571800,8104,440.745311,26284,4779,31063,1.0
231,1997,Terengganu,5.3117,103.1324,880300,13035,67.53356348,2245,216,2461,3.6
232,1997,Sarawak,1.5533,110.3592,1942500,124450,15.60867818,5361,546,5907,3.9
233,1997,Sabah,5.420404,116.796783,2333800,73631,31.69588896,4384,941,5325,4.6
234,1998,Johor,1.4854,103.366585,2631600,19166,137.3056454,21661,3496,25157,1.7
235,1998,Kedah,6.1184,100.3685,1601200,9500,168.5473684,5737,617,6354,3.4
236,1998,Kelantan,6.125397,102.238068,1328900,17100,77.71345029,2272,216,2488,4.1
237,1998,Melaka,2.1944,102.2491,620500,1664,372.8966346,4289,480,4769,2.5
238,1998,Negeri sembilan,2.7258,101.9424,833400,6686,124.6485193,4622,537,5159,3.6
239,1998,Pahang,3.8126,103.3256,1248900,35965,34.7254275,2998,474,3472,2.6
240,1998,Penang,5.4164,100.3327,1282800,1048,1224.0458019999999,10928,1065,11993,2.3
241,1998,Perak,4.5921,101.0901,2066300,20976,98.50781846,10810,1603,12413,3.9
242,1998,Perlis,6.443589,100.216599,203800,819,248.84004879999998,393,87,480,4.3
243,1998,Selangor,3.0738,101.524803,3777400,8104,466.11549850000006,36260,5380,41640,1.8
244,1998,Terengganu,5.3117,103.1324,889700,13035,68.25469889,3587,315,3902,4.0
245,1998,Sarawak,1.5533,110.3592,1982200,124450,15.9276818,7555,653,8208,5.0
246,1998,Sabah,5.420404,116.796783,2423600,73631,32.91548397,6673,1072,7745,4.9
247,1999,Johor,1.4854,103.366585,2699600,19166,140.8535949,21703,3914,25617,3.0
248,1999,Kedah,6.1184,100.3685,1636500,9500,172.2631579,6112,684,6796,3.2
249,1999,Kelantan,6.125397,102.238068,1344900,17100,78.64912281,2216,231,2447,3.2
250,1999,Melaka,2.1944,102.2491,633200,1664,380.5288462,4733,444,5177,1.9
251,1999,Negeri sembilan,2.7258,101.9424,849600,6686,127.07149270000001,4144,477,4621,3.8
252,1999,Pahang,3.8126,103.3256,1272600,35965,35.3844015,3060,438,3498,3.0
253,1999,Penang,5.4164,100.3327,1307400,1048,1247.519084,9986,1102,11088,2.4
254,1999,Perak,4.5921,101.0901,2076700,20976,99.00362319,12161,1809,13970,4.3
255,1999,Perlis,6.443589,100.216599,205600,819,251.037851,460,57,517,3.4
256,1999,Selangor,3.0738,101.524803,3981800,8104,491.33761110000006,41220,5516,46736,1.9
257,1999,Terengganu,5.3117,103.1324,896600,13035,68.78404296,3008,287,3295,3.9
258,1999,Sarawak,1.5533,110.3592,2024500,124450,16.26757734,7488,578,8066,4.6
259,1999,Sabah,5.420404,116.796783,2513500,73631,34.1364371,6143,903,7046,5.6
260,2000,Johor,1.4854,103.366585,2762500,19166,144.13544819999998,21745,3546,25291,2.2
261,2000,Kedah,6.1184,100.3685,1671900,9500,175.9894737,6508,660,7168,2.9
262,2000,Kelantan,6.125397,102.238068,1361500,17100,79.61988304,2116,215,2331,2.6
263,2000,Melaka,2.1944,102.2491,646900,1664,388.7620192,4862,546,5408,1.3
264,2000,Negeri sembilan,2.7258,101.9424,866300,6686,129.5692492,3856,498,4354,3.4
265,2000,Pahang,3.8126,103.3256,1297000,35965,36.06283887,2943,496,3439,2.7
266,2000,Penang,5.4164,100.3327,1332700,1048,1271.660305,9923,1092,11015,1.9
267,2000,Perak,4.5921,101.0901,2092000,20976,99.73302822,13705,1985,15690,3.5
268,2000,Perlis,6.443589,100.216599,207600,819,253.47985350000002,455,41,496,2.9
269,2000,Selangor,3.0738,101.524803,4188900,8104,516.8928923999999,41197,6365,47562,2.0
270,2000,Terengganu,5.3117,103.1324,903000,13035,69.27502877,3094,187,3281,3.0
271,2000,Sarawak,1.5533,110.3592,2071600,124450,16.64604259,6717,474,7191,4.3
272,2000,Sabah,5.420404,116.796783,2603500,73631,35.35874835,5008,810,5818,5.8
273,2001,Johor,1.4854,103.366585,2830200,19166,147.667745,20934,3386,24320,3.4
